2012-01-01	09:00	214.05	Amex
2012-01-01	09:00	153.57	Visa
2012-01-01	09:00	66.08	Cash
2012-01-01	09:00	493.51	Discover
2012-01-01	09:00	235.63	MasterCard
2012-01-01	09:00	247.18	MasterCard
2012-01-01	09:00	379.6	Visa
2012-01-01	09:00	296.8	Cash
2012-01-01	09:00	25.38	Discover
2012-01-01	09:00	213.88	Visa
2012-01-01	09:00	53.26	Visa
2012-01-01	09:00	39.75	Cash
2012-01-01	09:00	469.63	MasterCard
2012-01-01	09:00	290.82	MasterCard
2012-01-01	09:00	260.65	Discover
2012-01-01	09:00	136.9	Visa
2012-01-01	09:00	483.82	Visa
2012-01-01	09:00	215.82	Cash
2012-01-01	09:00	418.94	Amex
2012-01-01	09:00	309.16	Visa
2012-01-01	09:00	93.39	Visa
2012-01-01	09:00	376.11	Amex
2012-01-01	09:01	252.88	Cash
2012-01-01	09:01	205.06	Visa
2012-01-01	09:01	88.25	Visa
2012-01-01	09:01	31.08	Cash
2012-01-01	09:01	370.55	Amex
2012-01-01	09:01	170.2	Cash
2012-01-01	09:01	16.78	Visa
2012-01-01	09:01	327.75	Discover
2012-01-01	09:01	108.69	Amex
2012-01-01	09:01	15.41	Discover
2012-01-01	09:01	80.46	Visa
2012-01-01	09:01	298.86	MasterCard
2012-01-01	09:01	475.26	Amex
2012-01-01	09:01	3.85	Amex
2012-01-01	09:01	287.65	MasterCard
2012-01-01	09:01	466.64	MasterCard
2012-01-01	09:01	255.68	MasterCard
2012-01-01	09:01	6.38	Amex
2012-01-01	09:01	117.81	MasterCard
2012-01-01	09:01	351.31	Cash
2012-01-01	09:01	222.61	Cash
2012-01-01	09:01	22.36	Amex
2012-01-01	09:02	189.01	Amex
2012-01-01	09:02	414.08	Cash
2012-01-01	09:02	182.05	Visa
2012-01-01	09:02	345.18	Discover
2012-01-01	09:02	135.96	Discover
2012-01-01	09:02	344.09	Discover
2012-01-01	09:02	33.13	Amex
2012-01-01	09:02	18.27	Discover
2012-01-01	09:02	140.94	Discover
2012-01-01	09:02	157.48	MasterCard
2012-01-01	09:02	350.55	Discover
2012-01-01	09:02	196.83	Visa
2012-01-01	09:02	425.79	Visa
2012-01-01	09:02	472.71	Cash
2012-01-01	09:02	359.29	Visa
2012-01-01	09:02	131.97	Visa
2012-01-01	09:02	134.33	Discover
2012-01-01	09:02	302.69	MasterCard
2012-01-01	09:02	254.62	Discover
2012-01-01	09:02	130.54	Discover
2012-01-01	09:02	153.84	Amex
2012-01-01	09:02	2	Cash
2012-01-01	09:03	100.38	Discover
2012-01-01	09:03	460.38	MasterCard
2012-01-01	09:03	107.94	Visa
2012-01-01	09:03	157.08	Discover
2012-01-01	09:03	243.05	Discover
2012-01-01	09:03	46.99	Discover
2012-01-01	09:03	9.47	MasterCard
2012-01-01	09:03	16.15	Visa
2012-01-01	09:03	271.56	Discover
2012-01-01	09:03	387.75	Visa
2012-01-01	09:03	367.76	Visa
2012-01-01	09:03	297.43	Amex
2012-01-01	09:03	392.81	Discover
2012-01-01	09:03	11.96	MasterCard
2012-01-01	09:03	20.07	Discover
2012-01-01	09:03	299.55	Visa
2012-01-01	09:03	440.11	Visa
2012-01-01	09:03	127.8	Discover
2012-01-01	09:03	390.2	Visa
2012-01-01	09:03	440.7	Cash
2012-01-01	09:03	294.98	Cash
2012-01-01	09:03	418.91	Discover
2012-01-01	09:03	359.65	MasterCard
2012-01-01	09:04	371.21	Visa
2012-01-01	09:04	368.42	MasterCard
2012-01-01	09:04	480.24	Cash
2012-01-01	09:04	125.35	Amex
2012-01-01	09:04	242.31	Discover
2012-01-01	09:04	278.61	Discover
2012-01-01	09:04	152.9	Discover
2012-01-01	09:04	452.07	Visa
2012-01-01	09:04	59.08	Cash
2012-01-01	09:04	155.33	Visa
2012-01-01	09:04	332.48	Amex
